岗位名称,公司名称,公司性质,公司规模,所属行业,工作城市,薪资区间,经验要求,学历要求,语言要求,职能类别,岗位标签,关键字,职位信息,城市,薪资_千元月,经验_年_数值,经验_年,学历_等级,岗位标签列表,关键字列表
IT ,上海天旗物流有限公司,民营,50-150人,交通/运输/物流,上海-奉贤区,8千-1.2万,1年及以上,大专,无要求,网络工程师,五险一金; 员工旅游; 交通补贴; 餐饮补贴; 通讯补贴; 年终奖金; 定期体检; 绩效奖金,电脑; sap; 网络; 维修; 服务器; 管理; wms; 计算机; 维护; 弱电,1.负责公司电脑，网络，打印机、服务器、,上海,10.0千元/月,1.0,1.0年,2,"['五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '年终奖金', '定期体检', '绩效奖金']","['电脑', 'sap', '网络', '维修', '服务器', '管理', 'wms', '计算机', '维护', '弱电']"
IT管培生 ,上海先导基电科技股份有限公司,已上市,150-500人,电子/半导体/集成电路,上海-徐汇区,8千-1.2万,无需经验,本科,无要求,网络工程师,培训; 五险一金; 补充医疗保险; 交通补贴; 餐饮补贴; 通讯补贴; 绩效奖金,计算机; 办公软件; 管理; 数据库; 编程; 运维; 软件工程; 文档编写; 计算机网络; it,一、岗位职责 1.协助维护公司网络、服务,上海,10.0千元/月,0.0,0.0年,3,"['培训', '五险一金', '补充医疗保险', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金']","['计算机', '办公软件', '管理', '数据库', '编程', '运维', '软件工程', '文档编写', '计算机网络', 'it']"
IT ,上海峰密特国际船务代理有限公司,民营,少于50人,贸易/进出口,上海-虹口区,8千-1万·13薪,2年及以上,大专,英语,网络工程师,五险一金; 年终奖金; 员工旅游; 节日福利; 做五休二,计算机; 管理; 维修; sap; 电脑; 网络; 服务器; 维护; wms; 打印机,岗位职责： 1.解决员工的电脑、网络和软,上海,9.0千元/月,2.0,2.0年,2,"['五险一金', '年终奖金', '员工旅游', '节日福利', '做五休二']","['计算机', '管理', '维修', 'sap', '电脑', '网络', '服务器', '维护', 'wms', '打印机']"
IT软件实施运维工程师 ,上海易乓乒智能科技股份有限公司,民营,50-150人,仪器仪表/工业自动化,上海-宝山区,8千-1万·13薪,1年及以上,本科,无要求,运维工程师,五险一金; 带薪年假; 节假日; 法定节假,计算机; mysql; redis; 网络; 软件工程; 维护; 中间件; http; tcp; ip,岗位职责： ●负责公司自研软件产品的部署,上海,9.0千元/月,1.0,1.0年,3,"['五险一金', '带薪年假', '节假日', '法定节假']","['计算机', 'mysql', 'redis', '网络', '软件工程', '维护', '中间件', 'http', 'tcp', 'ip']"
网管兼文印专员 ,上海市宝山华曜高级中学,事业单位,150-500人,院校,上海-宝山区,6-8千,2年及以上,本科,普通话听说读写流利,网络工程师,五险一金; 节日福利; 周末双休; 包吃,办公软件; 调试; 成本控制; 电脑; 安装; 操作系统; 设备维护; 打印机; 打印; 扫描,一、IT技术支持职责 1、负责电脑、打印,上海,34.0千元/月,2.0,2.0年,3,"['五险一金', '节日福利', '周末双休', '包吃']","['办公软件', '调试', '成本控制', '电脑', '安装', '操作系统', '设备维护', '打印机', '打印', '扫描']"
实施维护工程师 ,上海新程医学科技有限公司,民营,少于50人,医疗/护理/卫生,上海-静安区,7千-1.3万,3-4年,本科,英语良好,IT技术支持,五险一金; 餐饮补贴; 年终奖金,实施维护; 软件安装; 软件实施; 软件维护,岗位说明： 实施服务是直接面向公司客户，,上海,10.0千元/月,3.5,3.5年,3,"['五险一金', '餐饮补贴', '年终奖金']","['实施维护', '软件安装', '软件实施', '软件维护']"
IT专员 ,海南爱锋派信息科技有限公司,民营,少于50人,通信/电信/网络设备,上海-长宁区,7千-1万·13薪,2-3年,大专,无要求,网络工程师,五险一金; 补充医疗保险; 餐饮补贴; 年终奖金; 定期体检,计算机; linux; sap; 金蝶; 通信; windows; 网络; 服务器; 维护; 信息化,【工作内容】 1、负责公司内部网络、服务,上海,8.5千元/月,2.5,2.5年,2,"['五险一金', '补充医疗保险', '餐饮补贴', '年终奖金', '定期体检']","['计算机', 'linux', 'sap', '金蝶', '通信', 'windows', '网络', '服务器', '维护', '信息化']"
实施工程师（SPC系统） ,上扬软件（上海）有限公司,外资（非欧美）,150-500人,计算机软件,上海,8千-1.2万,2年及以上,本科,无要求,IT技术支持,五险一金; 餐饮补贴; 通讯补贴; 带薪年假,内部测试; 功能需求文档; 技术需求文档; 半导体工厂; 进度把控; 用户培训,岗位职责： 1、根据项目需求，负责项目初,上海,10.0千元/月,2.0,2.0年,3,"['五险一金', '餐饮补贴', '通讯补贴', '带薪年假']","['内部测试', '功能需求文档', '技术需求文档', '半导体工厂', '进度把控', '用户培训']"
实施服务工程师 ,,,,,上海-静安区,7千-1.3万,3年及以上,本科,无要求,运维工程师,五险一金; 培训,sql语句; 计算机; LIS,实施服务是直接面向公司客户，现场为客户提,上海,10.0千元/月,3.0,3.0年,3,"['五险一金', '培训']","['sql语句', '计算机', 'LIS']"
实施工程师 ,,,,,上海,1-1.5万,3-10年,本科,无要求,IT技术支持,,计算机; linux; 项目管理; 项目实施; oracle数据库; 文档编写; 金融行业; ai; sql语句; 信创,需求部门 工程总部财富管理交付中心 工作,上海,12.5千元/月,6.5,6.5年,3,[],"['计算机', 'linux', '项目管理', '项目实施', 'oracle数据库', '文档编写', '金融行业', 'ai', 'sql语句', '信创']"
IT技术支持 ,煦实信息科技（上海）有限公司,外资（非欧美）,150-500人,企业服务,上海,1-1.1万,5年及以上,大专,英语简单沟通/读写,IT技术支持,外资企业; 五险一金; 年终奖金; 绩效奖金; 定期体检; 专业培训; 员工旅游; 节日福利; 带薪年假; 周末双休; 做五休二; 高温补贴; 管理规范; 不限城市; 在家办公,sop; jira; 故障处理; 绩效考核体系; 系统巡检; servicenow; 零售系统; 工单系统; 技术支持; 技术响应,岗位职责 1.负责桌面计算机软硬件（计算,上海,10.5千元/月,5.0,5.0年,2,"['外资企业', '五险一金', '年终奖金', '绩效奖金', '定期体检', '专业培训', '员工旅游', '节日福利', '带薪年假', '周末双休', '做五休二', '高温补贴', '管理规范', '不限城市', '在家办公']","['sop', 'jira', '故障处理', '绩效考核体系', '系统巡检', 'servicenow', '零售系统', '工单系统', '技术支持', '技术响应']"
it工程师 ,上海维脉医疗科技有限公司,民营,医疗设备/器械,,上海-浦东新区,8千-1.5万,3年及以上,大专,无要求,网络工程师,五险一金; 绩效奖金; 定期体检; 餐饮补贴; 带薪年假; 节日福利; 通讯补贴; 交通补贴; 周末双休; 免费班车; 弹性工作,计算机; 医疗器械; 维修; 网络; tcp; 网络设备; 打印机; ip; 故障排查; dns,岗位职责： 1.负责办公电脑、打印机、网,上海,11.5千元/月,3.0,3.0年,2,"['五险一金', '绩效奖金', '定期体检', '餐饮补贴', '带薪年假', '节日福利', '通讯补贴', '交通补贴', '周末双休', '免费班车', '弹性工作']","['计算机', '医疗器械', '维修', '网络', 'tcp', '网络设备', '打印机', 'ip', '故障排查', 'dns']"
运维工程师 ,创买集团有限公司,民营,50-150人,机械/设备/重工,上海-松江区,7千-1.2万,2年及以上,本科,无要求,运维工程师,,计算机; linux; windows; 运维; 服务器; 网络设备; 办公设备; 故障排查; 脚本编写; 系统性能,工作内容： - 负责办公设备、公司服务器,上海,9.5千元/月,2.0,2.0年,3,[],"['计算机', 'linux', 'windows', '运维', '服务器', '网络设备', '办公设备', '故障排查', '脚本编写', '系统性能']"
IT运维工程师 ,上海精珅新材料有限公司,民营,50-150人,电子/半导体/集成电路,上海-金山区,7千-1万·13薪,3年及以上,大专,无要求,运维工程师,五险一金; 定期体检; 带薪年假; 周末双休; 节日福利,计算机; 管理; 数据库; sql; erp; 异常处理; 安装调试; 服务器,岗位职责： 1.负责公司整体网络架构的规,上海,8.5千元/月,3.0,3.0年,2,"['五险一金', '定期体检', '带薪年假', '周末双休', '节日福利']","['计算机', '管理', '数据库', 'sql', 'erp', '异常处理', '安装调试', '服务器']"
软件技术支持（WMS/WCS） ,永恒力叉车（上海）有限公司,外资（欧美）,500-1000人,机械/设备/重工,上海-闵行区,6-8千·13薪,无需经验,本科,英语简单沟通/读写,运维工程师,五险一金; 年终奖金; 定期体检; 绩效奖金; 专业培训; 餐饮补贴; 带薪年假; 通讯补贴; 交通补贴; 周末双休; 节日福利,运维支持; WMS; WCS; 技术支持; 技术文档; 沟通协调; 夜班津贴; 在线技术支持,岗位职责： 1. 软件运维：负责 WMS,上海,34.0千元/月,0.0,0.0年,3,"['五险一金', '年终奖金', '定期体检', '绩效奖金', '专业培训', '餐饮补贴', '带薪年假', '通讯补贴', '交通补贴', '周末双休', '节日福利']","['运维支持', 'WMS', 'WCS', '技术支持', '技术文档', '沟通协调', '夜班津贴', '在线技术支持']"
信息技术部-固收类系统开发岗 (职位编号：000771) ,申港证券股份有限公司,合资,1000-5000人,计算机服务,上海,1.5-3万,1年,,无要求,系统工程师,扁平管理; 领导好,,岗位职责:1. 参与并负责项目的需求设计,上海,22.5千元/月,1.0,1.0年,0,"['扁平管理', '领导好']",[]
资产管理与运营助理 ,适马贸易（上海）有限公司,外资（非欧美）,50-150人,批发/零售,上海-长宁区,7-9千·13薪,1年及以上,大专,英语简单沟通/读写,商品管理,五险一金; 员工旅游; 交通补贴; 餐饮补贴; 年终奖金; 定期体检,资产管理; 入库; 出库; 库管; 运营支持; 库存盘点; 库位管理; 系统操作,于这个岗位 在品牌工作的实际运行中，很多,上海,39.5千元/月,1.0,1.0年,2,"['五险一金', '员工旅游', '交通补贴', '餐饮补贴', '年终奖金', '定期体检']","['资产管理', '入库', '出库', '库管', '运营支持', '库存盘点', '库位管理', '系统操作']"
项目管理与订单执行 (职位编号：S25102301) ,施罗德（上海）阀门销售有限公司,外企代表处,少于50人,机械/设备/重工,上海-徐汇区,5-8千·13薪,1年及以上,本科,英语读写熟练,机械项目管理,年休假; 国定假日; 节假日; 五险一金; 带薪年假; 员工旅游; 绩效奖金; 出国机会; 定期体检; 零食下午茶; 定期团建,机械/设备; 订单执行; 项目管理,职责描述： 1. 合同订单录入系统，并确,上海,29.0千元/月,1.0,1.0年,3,"['年休假', '国定假日', '节假日', '五险一金', '带薪年假', '员工旅游', '绩效奖金', '出国机会', '定期体检', '零食下午茶', '定期团建']","['机械/设备', '订单执行', '项目管理']"
财务信息化经理 ,太平洋保险养老产业投资管理有限责任公司,国企,500-1000人,房地产,上海-徐汇区,20-30万/年,3年及以上,本科,无要求,财务经理,五险一金; 年终奖金; 定期体检; 节日福利; 带薪年假; 周末双休; 包吃; 包住宿; 培训; 管理规范,金蝶; SAP; 用友; 浪潮; Oracle; 数据分析; excel; 财务; 审计; word; ppt; 财务管理; 财务报表; 税务; 财务软件,【岗位职责】 1.主导并参与公司财务相关,上海,20.8千元/月,3.0,3.0年,3,"['五险一金', '年终奖金', '定期体检', '节日福利', '带薪年假', '周末双休', '包吃', '包住宿', '培训', '管理规范']","['金蝶', 'SAP', '用友', '浪潮', 'Oracle', '数据分析', 'excel', '财务', '审计', 'word', 'ppt', '财务管理', '财务报表', '税务', '财务软件']"
信息安全风险岗 ,中国太平洋保险（集团）股份有限公司,国企,1000-5000人,保险,上海-黄浦区,1-2万,5年及以上,本科,无要求,网络安全工程师,五险一金; 年终奖金; 定期体检; 绩效奖金; 专业培训; 餐饮补贴; 带薪年假; 员工旅游; 保险,银行; it; 网络安全; 信息技术; 金融科技; 平台建设; 数据中心运维; 事件处置; 年度评估; 信息安全,岗位职责: 1.协助功能区负责人贯彻落实,上海,15.0千元/月,5.0,5.0年,3,"['五险一金', '年终奖金', '定期体检', '绩效奖金', '专业培训', '餐饮补贴', '带薪年假', '员工旅游', '保险']","['银行', 'it', '网络安全', '信息技术', '金融科技', '平台建设', '数据中心运维', '事件处置', '年度评估', '信息安全']"
信息技术-开发测试岗(J10244) ,申港证券股份有限公司,合资,1000-5000人,计算机服务,上海-浦东新区,1-2万,无需经验,本科,无要求,功能测试,领导好; 扁平管理,java; 测试流程,工作职责: 1、参与公司业务管理平台和I,上海,15.0千元/月,0.0,0.0年,3,"['领导好', '扁平管理']","['java', '测试流程']"
软件项目管理 ,,,,,上海-徐汇区,2-4万,5年及以上,本科,无要求,软件工程师,五险一金,C; C; Linux开发/部署经验; 计算机; 测试; sop; 项目管理; 需求调研; ppap; 研发; 车辆工程; 供应链,岗位职责 1. 负责车机软件开发全流程管,上海,30.0千元/月,5.0,5.0年,3,['五险一金'],"['C', 'C', 'Linux开发/部署经验', '计算机', '测试', 'sop', '项目管理', '需求调研', 'ppap', '研发', '车辆工程', '供应链']"
信息安全（日语） ,瀚聘（上海）商务咨询有限公司,民营,少于50人,专业服务(咨询、人力资源、财会),上海,1.5-2万·14薪,8年及以上,本科,日语听说读写流利,网络安全工程师,,计算机; 管理; 运营; it; 技术指导; 信息技术; 技术框架; 技术规程; n1; it资产,岗位职责 ： 1. 根据公司发展战略，主,上海,17.5千元/月,8.0,8.0年,3,[],"['计算机', '管理', '运营', 'it', '技术指导', '信息技术', '技术框架', '技术规程', 'n1', 'it资产']"
信息分析员 ,上海连成（集团）有限公司,民营,1000-5000人,机械/设备/重工,上海,5-7千,2年及以上,本科,无要求,数据分析师,五险一金; 餐饮补贴; 带薪年假; 节日福利; 免费班车,excel; ppt; 经济学; crm; 工商管理; 分析报告; 信息管理; 机械工程; 报告撰写; 市场研究,岗位职责： 1、负责信息的系统规划与多渠,上海,28.5千元/月,2.0,2.0年,3,"['五险一金', '餐饮补贴', '带薪年假', '节日福利', '免费班车']","['excel', 'ppt', '经济学', 'crm', '工商管理', '分析报告', '信息管理', '机械工程', '报告撰写', '市场研究']"
